____________________________X____________________________________________________1,0.0
_______________O____________X_______________________________X____________________6,0.0
____X__________O____________X_________________________O_____X____________________4,0.0
____X__________O_________X__X_________O_______________O_____X____________________7,0.0
____X__________O_________X__X_________O_______________O_____X__X______O__________0,0.0
__O_X__________O______X__X__X_________O_______________O_____X__X______O__________4,0.0
__O_X__________O______X__X__X_________O___O___________O_____X_XX______O__________8,0.0
__O_X__________O______X__X__X_________O___O___________O_____XXXX______O_______O__7,0.0
__O_X__________O______X__X__X_________O___O___________O_____XXXX______OO____X_O__4,0.0
__O_X__________O______X__X__X_________O___O_O_________O_____XXXX______OO____X_OX_7,0.0
__O_X__________O______X__X__X_________OX__O_O_________O_____XXXX___O__OO____X_OX_3,0.0
__O_X__________O______X__X__X__O______OXX_O_O_________O_____XXXX___O__OO____X_OX_4,0.0
__O_X__X_______O______X__X__X__O____O_OXX_O_O_________O_____XXXX___O__OO____X_OX_7,0.0
__O_X__X_______O______X__X__X__O____O_OXX_O_O_________O__X__XXXX___O_OOO____X_OX_3,0.0
__O_X__X_______O______X__X_XX_OO____O_OXX_O_O_________O__X__XXXX___O_OOO____X_OX_0,0.0
__O_X__XO______O______X__X_XX_OO____O_OXX_O_O_________O__X__XXXX___O_OOO__X_X_OX_2,0.0
__O_X__XO____X_O___O__X__X_XX_OO____O_OXX_O_O_________O__X__XXXX___O_OOO__X_X_OX_4,0.0
__O_X__XO____X_O___O__X__X_XX_OO____O_OXX_OOO_________O__X__XXXX__XO_OOO__X_X_OX_3,0.0
__O_X__XO____X_O___O__X__X_XX_OO___OO_OXX_OOO_________O__X__XXXX__XO_OOO_XX_X_OX_1,0.0
__O_X__XO___OX_O___O__X__X_XX_OO_X_OO_OXX_OOO_________O__X__XXXX__XO_OOO_XX_X_OX_6,0.0
__O_X__XO___OX_O___O__X__X_XX_OO_X_OO_OXXXOOO_________O__XO_XXXX__XO_OOO_XX_X_OX_5,0.0
__O_X__XO___OX_O___O__X__X_XX_OO_X_OO_OXXXOOO________OO__XO_XXXX__XO_OOOXXX_X_OX_0,0.0
O_OXX__XO___OX_O___O__X__X_XX_OO_X_OO_OXXXOOO________OO__XO_XXXX__XO_OOOXXX_X_OX_3,0.0
O_OXX__XO___OX_O___O__X__X_XX_OOOX_OO_OXXXOOO_X______OO__XO_XXXX__XO_OOOXXX_X_OX_1,0.0
O_OXX__XO__OOX_O___O__XX_X_XX_OOOX_OO_OXXXOOO_X______OO__XO_XXXX__XO_OOOXXX_X_OX_5,0.0
O_OXX__XOO_OOX_O___O__XX_X_XX_OOOX_OO_OXXXOOO_X____O_OOX_XO_XXXX__XO_OOOXXX_X_OX_0,1
O_OXX__XO__OOX_O___O__XX_X_XX_OOOX_OO_OXXXOOO_X____O_OOX_XO_XXXX__XO_OOOXXX_X_OX_1,0.5
_________________________________X_______________________________________________6,0.0
____________________________X____X_______________________O_______________________1,0.0
